BOE_IUDAJLT,BOE_IUDAMIJ,BOE_IUDED3A,BOE_IUDED3O,BOE_IUDERB3,BOE_IUDGR1M,BOE_IUDGR1W,BOE_IUDGR2W,BOE_IUDGR3M,BOE_IUDGRON,BOE_IUDLER3,BOE_IUDLIIF,BOE_IUDLIZC,BOE_IUDLNIF,BOE_IUDLNPY,BOE_IUDLNZC,BOE_IUDLRIF,BOE_IUDLRZC,BOE_IUDMIIF,BOE_IUDMIZC,BOE_IUDMNIF,BOE_IUDMNPY,BOE_IUDMNZC,BOE_IUDMRIF,BOE_IUDMRZC,BOE_IUDSIIF,BOE_IUDSIZC,BOE_IUDSNIF,BOE_IUDSNPY,BOE_IUDSNZC,BOE_IUDSOIA,BOE_IUDSRIF,BOE_IUDSRZC,BOE_IUDVCDA,BOE_IUDVNEA,BOE_IUDVSMA,BOE_IUDVWKA,BOE_IUDVWLA,BOE_IUDVYRA,BOE_XUDLADD,BOE_XUDLADS,BOE_XUDLBK25,BOE_XUDLBK26,BOE_XUDLBK27,BOE_XUDLBK33,BOE_XUDLBK34,BOE_XUDLBK35,BOE_XUDLBK47,BOE_XUDLBK48,BOE_XUDLBK49,BOE_XUDLBK63,BOE_XUDLBK64,BOE_XUDLBK65,BOE_XUDLBK66,BOE_XUDLBK68,BOE_XUDLBK69,BOE_XUDLBK72,BOE_XUDLBK73,BOE_XUDLBK74,BOE_XUDLBK75,BOE_XUDLBK76,BOE_XUDLBK78,BOE_XUDLBK83,BOE_XUDLBK85,BOE_XUDLBK87,BOE_XUDLBK89,BOE_XUDLBK93,BOE_XUDLBK95,BOE_XUDLBK97,BOE_XUDLCDD,BOE_XUDLCDS,BOE_XUDLDKD,BOE_XUDLDKS,BOE_XUDLERD,BOE_XUDLERS,BOE_XUDLGBD,BOE_XUDLHDD,BOE_XUDLHDS,BOE_XUDLJYD,BOE_XUDLJYS,BOE_XUDLNDD,BOE_XUDLNDS,BOE_XUDLNKD,BOE_XUDLNKS,BOE_XUDLSER,BOE_XUDLSFD,BOE_XUDLSFS,BOE_XUDLSGD,BOE_XUDLSGS,BOE_XUDLSKD,BOE_XUDLSKS,BOE_XUDLSRD,BOE_XUDLSRS,BOE_XUDLTWD,BOE_XUDLTWS,BOE_XUDLUSS,BOE_XUDLZRD,BOE_XUDLZRS,COM_AG_EFP,COM_AG_EIB,COM_AG_GBP,COM_AG_USD,COM_AL_LME,COM_AU_EFP,COM_AU_EGL,COM_AU_EIB,COM_AU_LAM,COM_AU_LPM,COM_AU_MPL,COM_AU_PHL,COM_AU_ZAR,COM_BEEF_C,COM_BEEF_S,COM_BONE_MEAL,COM_BRAN,COM_BUTTER,COM_CHEESE_BLK,COM_CHEESE_BRL,COM_CHKN_A,COM_CHKN_NTL,COM_COAL_CAPP,COM_COAL_POWD,COM_COCOA,COM_COFFEE_BRZL,COM_COFFEE_CLMB,COM_COPPER,COM_CORN_2,COM_CORN_FEED,COM_CORN_OIL,COM_COTTON,COM_CTNSD_MEAL,COM_DIESEL_ULS,COM_EGGS,COM_FUELOIL,COM_GAS_CR,COM_GREASE,COM_HIDES,COM_HOGS,COM_HOMINY,COM_MILK,COM_OATS,COM_OIL_BRENT,COM_OIL_WTI,COM_PA_EFP,COM_PL_EFP,COM_PL_EIB,COM_SORGHUM,COM_SOYB_1,COM_SOYB_MEAL,COM_SOYB_OIL,COM_TALLOW_B,COM_WHEAT_2,COM_WHEAT_KC,COM_WHEAT_MN,FRED_DFF,FRED_DGS10,FRED_DGS30,FRED_DGS5,FRED_DPRIME,FRED_DTB3,FRED_T10YIE,FRED_T5YIE,FRED_T5YIFR,FRED_TEDRATE,OPEC_ORB,RICI_RICI,RICI_RICIA,RICI_RICIE,RICI_RICIM,valueDate
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57.35,10.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2010-01-01 00:00:00"
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57.35,10.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2010-01-02 00:00:00"
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57.35,10.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2010-01-03 00:00:00"
0.6555,0.625,0.26,0.31,0.7,0.475,0.49,0.485,0.475,0.49,0.6538,4.2058,3.7331,4.379,4.4009,4.5405,0.1732,0.8074,4.1674,3.2655,5.4641,3.9979,4.1421,1.2967,0.8766,3.4264,2.6197,4.7971,2.9613,2.973,0.4487,1.3707,0.3534,0.575,0.53,0.85,0.5,0.5,1.375,1.0946,1.7646,29.3155,26.255,18.1847,299.776,268.48,185.954,4.5589,4.083,2.828,133.32,46.245,3.7425,3.3975,1.4841,30.3135,33.185,6.8273,1150.35,1.4757,7.4414,6.0333,5.4771,48.8684,53.4975,11.0063,1854.48,2.379,74.5516,1.0356,1.6695,5.154,8.3088,0.6926,1.1166,0.6203,7.756,12.5034,92.34,148.861,1.3628,2.1969,5.7037,9.1949,0.8956,1.0279,1.6571,1.3977,2.2532,7.0437,11.3552,3.7494,6.0444,31.635,50.9988,1.6121,7.2913,11.7543,20.964,17.47,10.5857,17.17,2225.5,1208.36,1168.83,1124.06,1113,1121.5,1163.24,1163.24,1163.24,127.48,121.68,353,98,1.3275,145,143.25,0.825,0.8047,57.35,10.2,3256,NULL,NULL,3.388,3.83,97.33,41,76,290,2.187,1.045,2.179,2.096,0.27,81.75,63.24,93,140,2.74,78.49,79.63,522,1610,1510,7.92,10.305,336.5,0.3772,0.29,4.305,5.2475,7.11,0.12,3.85,4.65,2.65,3.25,0.08,2.38,2.13,2.63,0.17,78.23,3348.14,1009.08,770.52,2379.26,"2010-01-04 00:00:00"
0.6719,0.6,0.49,0.54,0.699,0.495,0.495,0.495,0.495,0.495,0.6531,4.2348,3.7542,4.4693,4.4556,4.5968,0.2345,0.8426,4.1715,3.304,5.504,4.054,4.1991,1.3325,0.8951,3.4637,2.6763,4.8651,3.0205,3.0366,0.4514,1.4014,0.3603,0.575,0.525,0.825,0.5,0.5,1.325,1.0934,1.753,29.2146,26.27,18.2215,299.163,269.01,186.592,4.5468,4.0885,2.8359,131.96,46.155,3.733,3.3875,1.4862,29.927,33.145,6.8272,1139,1.4745,7.4417,5.9851,5.4312,47.982,53.1414,10.946,1826.16,2.3641,74.0003,1.0367,1.6621,5.1618,8.2758,0.6936,1.1121,0.6237,7.7564,12.4358,91.53,146.75,1.3563,2.1746,5.6952,9.1311,0.8992,1.0309,1.6528,1.3955,2.2374,7.0819,11.3544,3.7502,6.0127,31.885,51.1212,1.6033,7.304,11.7105,21.288,17.74,10.9744,17.57,2247,1210.25,1167.27,1125.81,1125.25,1123.25,1161.68,1161.68,1161.68,127.58,121.64,343,99,1.3275,144,143.5,0.825,0.8047,57.35,10.7,3321,1.3135,1.9523,NULL,3.815,96.96,41,73.12,290,2.181,1.045,2.19,2.114,0.27,81.75,64.37,93,140,2.69,80.29,81.77,523,1622,1522,7.925,10.335,338.9,0.3753,0.2925,4.295,5.2075,7.0875,0.12,3.77,4.59,2.56,3.25,0.07,2.34,2.12,2.56,0.18,79.14,3349.28,1005.37,771.65,2390.17,"2010-01-05 00:00:00"
0.6681,0.6,0.26,0.31,0.694,0.495,0.495,0.495,0.495,0.495,0.65,4.2528,3.782,4.517,4.505,4.6464,0.2642,0.8644,4.2187,3.341,5.5925,4.0886,4.2473,1.3738,0.9063,3.4796,2.7042,4.929,3.0289,3.0396,0.4534,1.4495,0.3354,0.575,0.525,0.825,0.5,0.5,1.285,1.0908,1.7452,29.2911,26.34,18.3069,298.56,268.48,186.6,4.5554,4.0964,2.8471,133.32,45.785,3.7235,3.381,1.4814,29.867,33.135,6.8272,1131.2,1.4747,7.4409,5.9576,5.4096,47.7872,53.016,10.9235,1809.92,2.3595,73.256,1.0345,1.6552,5.1716,8.2746,0.695,1.112,0.625,7.7547,12.4075,92.66,148.256,1.363,2.1807,5.6921,9.1074,0.8993,1.0296,1.6474,1.3954,2.2326,7.0941,11.3506,3.7503,6.0005,31.875,51,1.6,7.3085,11.6936,21.732,18.11,11.1952,17.89,2303,1217.51,1187.64,1132.57,1125,1130,1181.96,1181.96,1181.96,127.64,121.61,343,108,1.3275,141.25,143.75,0.8275,0.8047,57.35,10.7,3292,1.3228,1.9601,3.4775,3.845,96.96,41,73.55,290,2.206,1.045,2.198,2.13,0.27,81.75,63.91,92,140,2.72,80.38,81.43,525,1658,1558,7.98,10.31,337.4,0.3769,0.2925,4.485,5.365,7.24,0.12,3.85,4.7,2.6,3.25,0.06,2.37,2.16,2.58,0.19,79.7,3407.15,1014.64,785.26,2461.24,"2010-01-06 00:00:00"
0.6327,0.6,0.49,0.54,0.692,0.495,0.495,0.495,0.495,0.495,0.6488,4.2642,3.7984,4.5298,4.5001,4.6383,0.2656,0.8399,4.2287,3.3689,5.5737,4.0845,4.246,1.345,0.8771,3.5055,2.745,4.9422,3.0296,3.0401,0.4541,1.4368,0.2951,0.575,0.525,0.825,0.5,0.5,1.275,1.0884,1.7343,29.2614,26.305,18.363,300.268,269.93,188.433,4.5753,4.113,2.8712,133.52,45.74,3.7225,3.3705,1.4789,29.8675,33.155,6.828,1135,1.4716,7.441,5.9318,5.3709,47.5939,52.8325,10.8804,1808.62,2.345,72.8867,1.035,1.6493,5.1944,8.2773,0.6981,1.1124,0.6275,7.7547,12.3571,93.21,148.53,1.3626,2.1713,5.7088,9.0969,0.899,1.0324,1.6451,1.3969,2.226,7.1161,11.3395,3.7503,5.9761,31.855,50.7609,1.5935,7.3763,11.7541,21.9,18.25,11.3702,18.09,2307,1217.78,1183.46,1132.82,1130.75,1130.25,1177.8,1177.8,1177.8,128.37,122.28,343,105,1.3275,141,143.75,0.8275,0.8047,57.35,10.7,3309,1.3303,1.9977,3.4115,3.815,96.96,41,72.89,290,2.178,1.045,2.166,2.126,0.28,81.75,65.3,92,139,2.69,82,83.2,529,1650,1550,7.905,9.98,326.5,0.3661,0.2975,4.425,5.2625,7.21,0.1,3.85,4.69,2.62,3.25,0.05,2.41,2.19,2.63,0.2,80.19,3367.33,1001.24,779.18,2418.24,"2010-01-07 00:00:00"
0.6183,0.6,0.49,0.54,0.691,0.495,0.495,0.495,0.495,0.495,0.6488,4.2576,3.806,4.4972,4.4947,4.6234,0.2396,0.8174,4.2394,3.3918,5.5628,4.0954,4.2574,1.3234,0.8655,3.5148,2.7768,4.9669,3.043,3.0498,0.4546,1.452,0.273,0.575,0.525,0.825,0.5,0.5,1.275,1.0874,1.7355,29.2572,26.26,18.3316,298.644,268.05,187.12,4.5457,4.08,2.8482,133.14,45.49,3.715,3.3775,1.4782,29.8675,33.16,6.8262,1128.25,1.467,7.4407,5.9291,5.3905,47.6685,52.9234,10.8946,1800.69,2.3413,72.602,1.0342,1.6506,5.1942,8.29,0.6981,1.1141,0.6266,7.7558,12.3783,92.94,148.332,1.3648,2.1782,5.7009,9.0986,0.8976,1.0319,1.6469,1.3959,2.2279,7.1407,11.3965,3.7503,5.9855,31.87,50.8645,1.596,7.3755,11.7713,22.08,18.4,11.3179,18.12,2261.5,1214.01,1187.64,1129.32,1121.75,1126.75,1181.96,1181.96,1181.96,129.66,123.65,343,113,1.3275,141,143.25,0.8275,0.8047,57.35,10.7,3296,1.3297,1.9987,3.388,3.865,96.96,41,72.44,290,2.199,1.045,2.189,2.155,0.28,77.875,65.62,92,139,2.7,81.51,82.65,534,1673,1573,8,9.93,323.3,0.3678,0.2975,4.575,5.36,7.5,0.11,3.83,4.7,2.57,3.25,0.05,2.42,2.18,2.66,0.2,79.94,3369.04,1007.79,779.64,2395.55,"2010-01-08 00:00:00"
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57.35,10.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2010-01-09 00:00:00"
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57.35,10.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2010-01-10 00:00:00"
